user_address,profit_in_usdt,volume_traded
0x24f7eF98522dd61D529464f67BB3ffe96eA8AFC2,50138266.45908045,"{'WETH': 40479.283855532536, 'USDT': 63051263.89802101, 'USDC': 61190750.05151495, 'MATIC': 18973.545386677077, 'UNI': 634729.5487059575}"
0x448166a91e7BC50D0ac720C2FBED29e0963F5af8,37258096.69254573,"{'WETH': 20877.06679686541, 'USDT': 24583658.55028701, 'DAI': 6626084.6679372955, 'USDC': 15598351.912645005, 'MATIC': 2409317.8505099746, 'UNI': 1981275.159653278}"
0xAFdAA6776cE03307469014a90f6b349C3b811e26,34213312.91150594,"{'WETH': 20316.90301570972, 'USDT': 37563217.08888104, 'USDC': 8718574.592946999, 'UNI': 2566802.2104376545}"
0x5d3A10E4cd115311eD3599BE26A60ABF279871F2,33731458.591005914,"{'WETH': 26064.687870730984, 'USDT': 43003209.93254001, 'USDC': 31324010.948268995, 'MATIC': 29296.099755222895, 'UNI': 1046253.4369883073}"
0x93793Bd1f3e35a0Efd098c30e486A860A0ef7551,31455127.719260667,"{'WETH': 18557.76912958193, 'USDT': 21559894.046095006, 'DAI': 4083775.059435078, 'USDC': 10804311.294457998, 'MATIC': 2507829.1197943217, 'UNI': 2031786.298992414}"
0x82fab289311422664A26864322bF88eAbF5B4131,25347946.703002166,"{'WETH': 16717.006931567834, 'USDT': 27091671.848229997, 'DAI': 5274366.953590799, 'USDC': 18738709.262573007}"
0x675bB023e268dCC43F543620577bCacB73047f08,25288536.033588573,"{'WETH': 16866.309838727655, 'USDT': 10911438.196935, 'USDC': 35788346.23890699, 'MATIC': 51283.81816103841, 'UNI': 718939.8185093943}"
0x3d9aAE030B9661e3605b3acB5d0385EDE221a0cC,24459530.818183474,"{'WETH': 13812.747077037091, 'USDT': 17324088.77027201, 'DAI': 4265110.109462137, 'USDC': 10142387.846307991, 'MATIC': 1457008.5554250772, 'UNI': 1313741.6615018963}"
0x2c937e3B0Ea4198303d85aE11e4ac5fe3181c990,23763082.933737848,"{'WETH': 17246.59561561789, 'USDT': 28562734.548867002, 'DAI': 4733273.035399938, 'USDC': 20564026.578729007}"
0x12DDE15d3BC00d69fB6f94b5aFe8CB71A364756c,23747923.88923975,"{'WETH': 16324.320178949689, 'USDT': 22339178.749505993, 'DAI': 5788958.687766765, 'USDC': 21769038.699849986}"
0x58A497019644D8C383C8D3764C32fFD43506e836,23016980.84379625,"{'WETH': 15980.251615608602, 'USDT': 25585342.377735, 'DAI': 5440235.907475613, 'USDC': 18014261.912426997}"
0x104Da4EFB22A7E560e6df9C813E5eB54ca038737,22630506.297291405,"{'WETH': 16472.427870987987, 'USDT': 24780127.576448016, 'DAI': 4693674.0471863635, 'USDC': 20912206.29486201}"
0x81DC771e308C76C3E06f635ABEd7FB24830FB824,22271357.046767592,"{'WETH': 14939.777186956819, 'USDT': 23108552.152267013, 'DAI': 4931622.266638349, 'USDC': 18315468.58928699}"
0x56fc0708725A65eBb633eFDaeC931c0600A9faCE,22239245.511530075,"{'WETH': 15599.559618707946, 'USDT': 20765627.022622995, 'DAI': 5629853.9786584955, 'USDC': 22284520.016629}"
