"Date","Price","Open","High","Low","Vol.","Change %"
"26/10/2024","2,484.43","2,441.20","2,506.39","2,430.77","282.00K","1.77%"
"25/10/2024","2,441.18","2,535.87","2,564.13","2,386.98","550.79K","-3.73%"
"24/10/2024","2,535.87","2,524.64","2,561.75","2,508.98","312.65K","0.39%"
"23/10/2024","2,526.10","2,622.91","2,625.51","2,463.67","385.15K","-3.65%"
"22/10/2024","2,621.79","2,666.66","2,671.28","2,607.54","293.69K","-1.68%"
"21/10/2024","2,666.66","2,747.28","2,766.10","2,656.65","336.97K","-2.93%"
"20/10/2024","2,747.28","2,647.42","2,757.52","2,635.82","280.67K","3.77%"
"19/10/2024","2,647.39","2,641.72","2,662.63","2,631.27","113.68K","0.21%"
"18/10/2024","2,641.72","2,605.53","2,675.17","2,596.72","315.00K","1.39%"
"17/10/2024","2,605.53","2,611.09","2,646.96","2,578.23","242.98K","-0.21%"
"16/10/2024","2,611.09","2,607.79","2,645.42","2,589.72","280.52K","0.12%"
"15/10/2024","2,607.84","2,630.54","2,682.02","2,540.15","442.58K","-0.86%"
"14/10/2024","2,630.54","2,468.94","2,651.52","2,444.63","474.24K","6.55%"
"13/10/2024","2,468.92","2,476.46","2,484.13","2,437.44","130.46K","-0.31%"
"12/10/2024","2,476.48","2,436.77","2,489.53","2,434.39","150.00K","1.63%"
"11/10/2024","2,436.73","2,385.40","2,470.65","2,382.22","254.87K","2.15%"
"10/10/2024","2,385.40","2,370.10","2,417.90","2,353.08","288.05K","0.64%"
"09/10/2024","2,370.13","2,440.91","2,472.03","2,355.24","268.06K","-2.90%"
"08/10/2024","2,440.93","2,422.73","2,461.96","2,403.20","221.59K","0.75%"
"07/10/2024","2,422.75","2,440.33","2,520.05","2,407.05","324.83K","-0.72%"
"06/10/2024","2,440.33","2,414.98","2,455.95","2,407.13","120.24K","1.05%"
"05/10/2024","2,414.98","2,414.44","2,427.34","2,390.08","114.50K","0.02%"
"04/10/2024","2,414.43","2,349.67","2,440.74","2,339.97","263.74K","2.76%"
"03/10/2024","2,349.67","2,365.53","2,402.68","2,311.68","344.36K","-0.67%"
"02/10/2024","2,365.57","2,449.65","2,498.70","2,355.21","343.59K","-3.43%"
"01/10/2024","2,449.67","2,602.30","2,656.71","2,422.11","535.54K","-5.91%"
"30/09/2024","2,603.48","2,657.67","2,661.71","2,579.32","308.41K","-2.04%"
"29/09/2024","2,657.67","2,675.71","2,683.73","2,634.69","171.03K","-0.67%"
"28/09/2024","2,675.71","2,694.53","2,703.83","2,651.38","145.42K","-0.70%"
"27/09/2024","2,694.53","2,632.05","2,726.69","2,616.01","304.78K","2.37%"
"26/09/2024","2,632.05","2,580.29","2,664.95","2,560.48","311.52K","2.00%"
"25/09/2024","2,580.34","2,652.47","2,672.17","2,557.82","244.76K","-2.72%"
"24/09/2024","2,652.50","2,647.65","2,669.32","2,593.31","330.16K","0.18%"
"23/09/2024","2,647.65","2,581.06","2,701.60","2,544.68","369.37K","2.53%"
"22/09/2024","2,582.35","2,613.25","2,631.37","2,527.75","233.74K","-1.19%"
"21/09/2024","2,613.35","2,561.29","2,619.81","2,530.28","184.26K","2.01%"
"20/09/2024","2,561.79","2,464.52","2,570.58","2,438.98","411.52K","3.95%"
